,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
AC004556.1,1.0,0.0,18.420680753952368,3.4856782e-07,0.0001503368,1e-05,0.25,-9.01878,-8.793625,1.3216416,-14.020228,-2.9679089,0.0001905851,0.19402416,0.0001905850962454736,0.1582962492053401,0.0005551561480388045,1.5610594749450684,True,5kpbmc vs Rest,5kpbmc,Rest
DDX3Y,1.0,0.0,18.420680753952368,0.0006064621,3.8944128e-07,1e-05,0.25,10.72197,10.716267,1.3117526,4.5715065,16.385174,0.88069373,0.00012714558,0.44387268915570804,0.00012714558169103624,6.150333404541016,0.0004197609086986631,True,5kpbmc vs Rest,5kpbmc,Rest
XIST,1.0,0.0,18.420680753952368,4.088942e-07,0.0020452752,1e-05,0.25,-12.420623,-12.465874,1.2594571,-17.053837,-6.502527,0.0,1.6165289,0.0,0.673490146217419,0.0,16.968263626098633,True,5kpbmc vs Rest,5kpbmc,Rest
RPS4Y1,1.0,0.0,18.420680753952368,0.0028791092,4.981029e-07,1e-05,0.25,12.312215,12.345537,1.7473836,2.8926773,18.48478,3.9796073,0.00025429117,0.8038879359634077,0.0002542911633820725,29.141357421875,0.004227510653436184,True,5kpbmc vs Rest,5kpbmc,Rest
EIF1AY,0.9998,0.00019999999999997797,8.516943182665639,0.00020939959,2.0831676e-07,1e-05,0.25,9.988896,10.011459,1.414248,3.1842213,15.544073,0.3556318,0.0,0.2715837621497999,0.0,2.530714988708496,0.0,True,5kpbmc vs Rest,5kpbmc,Rest
MTRNR2L12,0.9966,0.0033999999999999586,5.680571123087171,0.008941232,0.00045726472,1e-05,0.25,3.8199642,3.6166446,1.5984799,-0.997242,9.833654,6.0956736,0.38499683,0.9740804269106156,0.29345200254291165,81.3691635131836,4.172624111175537,True,5kpbmc vs Rest,5kpbmc,Rest
NPIPB15,0.9932,0.006800000000000028,4.984007980933258,2.0733332e-06,5.2615505e-05,1e-05,0.25,-4.8716455,-4.9090734,1.5460341,-11.284664,2.3700857,0.004192872,0.056198347,0.0030493615399275775,0.047171010807374444,0.0182485468685627,0.5488412380218506,True,5kpbmc vs Rest,5kpbmc,Rest
EGR3,0.9896,0.010399999999999965,4.555494063498048,0.00013624139,2.1942394e-06,1e-05,0.25,6.3222437,6.3735394,2.2872036,-6.6531963,16.39835,0.15075281,0.003941513,0.1061558986087288,0.0026700572155117608,1.1602662801742554,0.02258303388953209,True,5kpbmc vs Rest,5kpbmc,Rest
EGR1,0.9878,0.012199999999999989,4.394043486819026,0.0013344731,4.451426e-05,1e-05,0.25,5.3270135,5.3929477,2.0676804,-4.355981,13.944466,2.4190967,0.06344564,0.5338288545835715,0.031150667514303877,13.166091918945312,0.4571402668952942,True,5kpbmc vs Rest,5kpbmc,Rest
DHRS4,0.9874,0.012599999999999945,4.361377628344464,2.7526048e-05,0.00017726491,1e-05,0.25,-2.9797754,-2.6394143,1.4898256,-11.354905,4.3801165,0.063464835,0.24589956,0.05927196493234229,0.19351557533375716,0.29833051562309265,1.9601550102233887,True,5kpbmc vs Rest,5kpbmc,Rest
NEU1,0.9808,0.019199999999999995,3.9334577755107722,0.0005454188,0.000100721714,1e-05,0.25,2.2897923,2.276276,1.0183902,-7.854845,10.694291,0.71259767,0.12879847,0.35048599199542596,0.10197075651621106,5.035622596740723,0.9142435789108276,True,5kpbmc vs Rest,5kpbmc,Rest
CD15_TotalSeqB_protein,0.9772,0.022800000000000042,3.757930375060113,56.136757,849.02,1e-05,0.25,-3.8256721,-3.6804392,1.6230876,-9.626165,2.7043552,94.88921,99.7978,1.0,1.0,,,True,5kpbmc vs Rest,5kpbmc,Rest
ALYREF,0.9736,0.02639999999999998,3.607636163004399,0.00010495629,0.00030020828,1e-05,0.25,-1.5483217,-1.531898,0.7478682,-6.287939,3.3697414,0.2033543,0.40826446,0.16218791690489803,0.2764144945963128,1.0806701183319092,3.300562858581543,True,5kpbmc vs Rest,5kpbmc,Rest
SERTAD1,0.9602,0.03979999999999995,3.1832744429646964,0.0007581759,8.551963e-05,1e-05,0.25,2.93535,3.0495253,1.3063917,-2.4958487,8.566059,1.2874023,0.10451367,0.5410710882408996,0.09624920534011443,9.03854751586914,0.9533281326293945,True,5kpbmc vs Rest,5kpbmc,Rest
IGHA1,0.9572,0.04279999999999995,3.1074740302487736,6.38721e-05,0.0009994028,1e-05,0.25,-5.6337533,-5.7728186,2.6839159,-17.134773,4.853405,0.10958643,24.47934,0.026872498570611778,0.23140495867768596,0.7860569953918457,18.432462692260742,True,5kpbmc vs Rest,5kpbmc,Rest
HIST2H2AC,0.957,0.04300000000000004,3.1026030536505993,0.00017222183,3.7324407e-05,1e-05,0.25,2.1694198,2.1964636,1.0604819,-1.5603523,6.2630577,0.25195348,0.04348379,0.20487897846388411,0.03712650985378258,1.9332486391067505,0.333437442779541,True,5kpbmc vs Rest,5kpbmc,Rest
MT-ND1,0.954,0.04600000000000004,3.03202206805009,0.0615517,0.011970526,1e-05,0.25,2.0488093,1.8433459,1.2403473,-2.2399354,7.7187595,49.345722,10.155881,0.9982847341337907,0.9880483153210426,547.2238159179688,97.4583511352539,True,5kpbmc vs Rest,5kpbmc,Rest
HES1,0.9496,0.0504,2.936049480336206,0.000116970885,1.7161605e-06,1e-05,0.25,5.8262386,5.8179483,2.9574919,-3.4051437,15.085115,0.37125978,0.0036872218,0.09395845244901849,0.0030514939605848696,1.336670994758606,0.020878786221146584,True,5kpbmc vs Rest,5kpbmc,Rest
IER5,0.949,0.051000000000000045,2.9235829803445967,0.0015284336,0.00030348502,1e-05,0.25,2.475847,2.4612393,1.3551323,-2.3584166,9.850009,2.4078522,0.33006993,0.6864875166761959,0.2221233312142403,16.310001373291016,2.789982557296753,True,5kpbmc vs Rest,5kpbmc,Rest
EGR2,0.9424,0.057599999999999985,2.794907082195586,6.0594557e-05,3.1673972e-06,1e-05,0.25,4.3863654,4.3102474,2.3475006,-4.4205093,15.080769,0.07337526,0.005594406,0.05450733752620545,0.0050858232676414495,0.6270352602005005,0.029646100476384163,True,5kpbmc vs Rest,5kpbmc,Rest
SEC61G,0.935,0.06499999999999995,2.666159116242096,0.00038100587,0.0012551417,1e-05,0.25,-2.0523398,-1.7501101,1.5235387,-9.329694,4.827648,0.7247951,1.5251112,0.437011625690871,0.6509853782581055,4.106476306915283,12.581515312194824,True,5kpbmc vs Rest,5kpbmc,Rest
IER5L,0.9348,0.06520000000000004,2.662872991055349,0.00040124817,6.458699e-05,1e-05,0.25,3.029882,2.8371973,1.9501419,-4.243719,10.938454,0.6251191,0.100572154,0.3474366304554984,0.0757787666878576,4.231734275817871,0.6233254671096802,True,5kpbmc vs Rest,5kpbmc,Rest
AC098818.2,0.9338,0.06620000000000004,2.646581679245415,2.6849004e-05,3.6387707e-06,1e-05,0.25,3.058281,3.0809875,1.5996763,-4.609644,9.626615,0.061558988,0.005085823,0.051648561082523345,0.0049586776859504135,0.3667564392089844,0.05245203524827957,True,5kpbmc vs Rest,5kpbmc,Rest
IER3,0.9322,0.06779999999999997,2.6209850522269886,0.0008197564,7.835433e-05,1e-05,0.25,3.5337288,3.5318737,2.3058283,-5.945695,14.125794,2.416619,0.14125875,0.40823327615780447,0.10298792116973936,9.68583869934082,0.892878532409668,True,5kpbmc vs Rest,5kpbmc,Rest
IGHA2,0.9314,0.0686,2.608396160780379,8.175932e-06,0.00012902585,1e-05,0.25,-4.9904876,-5.076119,2.8566303,-17.72163,7.64633,0.023060797,2.5821996,0.009719839908519153,0.04462809917355372,0.1864551156759262,2.558730363845825,True,5kpbmc vs Rest,5kpbmc,Rest
NRARP,0.9298,0.07020000000000004,2.583621066529587,5.084629e-05,7.505028e-07,1e-05,0.25,5.7995863,5.916361,2.5666935,-4.0260773,14.03602,0.0754717,0.0017800381,0.06460834762721555,0.001652892561983471,0.683738112449646,0.006200975272804499,True,5kpbmc vs Rest,5kpbmc,Rest
H1FX,0.9262,0.07379999999999998,2.529731337735684,0.00081346015,0.002736539,1e-05,0.25,-1.7604268,-1.72855,1.05439,-7.256551,2.8148518,1.4337717,2.9795296,0.5281113016962073,0.6892561983471074,9.252894401550293,32.8139533996582,True,5kpbmc vs Rest,5kpbmc,Rest
COX7B,0.9262,0.07379999999999998,2.529731337735684,0.00048805913,0.0011262969,1e-05,0.25,-1.4237171,-1.1266403,1.1556429,-7.391055,3.9447174,0.9986659,1.3802924,0.4867543358109396,0.6249205340114431,5.031530857086182,11.333067893981934,True,5kpbmc vs Rest,5kpbmc,Rest
IFIT2,0.925,0.07499999999999996,2.5123055014536018,0.00025150253,3.1573203e-05,1e-05,0.25,3.0826514,3.09722,1.9762304,-6.1647816,12.17531,0.46255,0.04920534,0.18296169239565466,0.03178639542275906,2.7508649826049805,0.37768828868865967,True,5kpbmc vs Rest,5kpbmc,Rest
IGKC,0.9246,0.07540000000000002,2.5065538147297164,0.0012653155,0.0032812904,1e-05,0.25,-4.5309596,-4.7659545,3.4373927,-16.190853,8.360256,5.0724225,60.04132,0.08080808080808081,0.42021614748887476,22.800840377807617,60.98716735839844,True,5kpbmc vs Rest,5kpbmc,Rest
PLK2,0.9238,0.07620000000000005,2.49513401489517,0.00013857738,1.1458751e-05,1e-05,0.25,3.461902,3.6258492,2.002625,-5.259924,10.647099,0.2468077,0.01640178,0.1690489803697351,0.014748887476160204,1.6463069915771484,0.1402704417705536,True,5kpbmc vs Rest,5kpbmc,Rest
AP001160.1,0.9214,0.0786,2.4615224366932504,0.0002452069,3.512483e-05,1e-05,0.25,2.7539873,2.7810006,1.7199652,-5.0419016,8.493573,0.28549647,0.02822632,0.17514770344959024,0.026191989828353465,2.536836624145508,0.32996758818626404,True,5kpbmc vs Rest,5kpbmc,Rest
ALDOA,0.9212,0.07879999999999998,2.4587640550345577,5.093794e-05,0.00013138559,1e-05,0.25,-1.5369252,-1.3472028,1.1384023,-8.327613,4.269745,0.11740042,0.1883026,0.10329712216504669,0.15257469802924348,0.5788381099700928,1.4942725896835327,True,5kpbmc vs Rest,5kpbmc,Rest
GADD45B,0.9208,0.07920000000000005,2.4532664431847957,0.0030466733,0.00050068065,1e-05,0.25,2.5217688,2.5703835,1.5795379,-5.234769,8.988796,4.5873833,0.50731087,0.7829235753764056,0.3315956770502225,31.773590087890625,5.643790245056152,True,5kpbmc vs Rest,5kpbmc,Rest
UQCRQ,0.9198,0.08020000000000005,2.439632626417011,0.00031824046,0.0007238512,1e-05,0.25,-1.4571024,-1.1080513,1.2342519,-7.750909,4.217721,0.63388604,0.9079466,0.3994663617305127,0.5009535918626827,3.434904098510742,7.677751064300537,True,5kpbmc vs Rest,5kpbmc,Rest
AL355075.4,0.9194,0.0806,2.4342225206667325,0.00016304463,2.1258335e-05,1e-05,0.25,2.7153373,2.7575216,1.7046756,-5.056226,11.242317,0.23098914,0.023394788,0.1269296740994854,0.020343293070565798,1.677606463432312,0.2138930857181549,True,5kpbmc vs Rest,5kpbmc,Rest
DNAJA1,0.919,0.08099999999999996,2.428836855107859,0.0013838495,0.00046214284,1e-05,0.25,1.5538139,1.5555353,0.96669394,-4.3200274,7.110199,2.141986,0.4956135,0.6963979416809606,0.33973299427844883,14.591339111328125,4.86838960647583,True,5kpbmc vs Rest,5kpbmc,Rest
JCHAIN,0.9162,0.08379999999999999,2.391801565547517,7.362375e-05,0.0004433681,1e-05,0.25,-4.807705,-4.977533,3.4844072,-19.20052,9.028612,0.21364589,7.945582,0.029350104821802937,0.10057215511760967,0.8287228345870972,6.4738264083862305,True,5kpbmc vs Rest,5kpbmc,Rest
PPP1R15B,0.914,0.08599999999999997,2.3634831698624987,0.0003363362,0.00010737951,1e-05,0.25,1.5630692,1.5573525,0.99933887,-5.070657,8.23416,0.56680006,0.12854418,0.33562035448827904,0.11341385886840433,3.816256284713745,1.0528427362442017,True,5kpbmc vs Rest,5kpbmc,Rest
DDIT3,0.91,0.08999999999999997,2.3136348290585373,0.00051507395,9.1054746e-05,1e-05,0.25,2.2116952,2.2696705,1.3626678,-2.023038,8.150762,0.6481799,0.09421488,0.37850200114351057,0.08467895740623013,5.566274166107178,1.0071698427200317,True,5kpbmc vs Rest,5kpbmc,Rest
FAM53C,0.9096,0.09040000000000004,2.3087605754125753,0.00045239963,0.000107267704,1e-05,0.25,1.903204,2.0288734,1.1745182,-6.0000525,8.787859,0.70535547,0.12498411,0.38307604345340196,0.11023521932612841,5.105818271636963,1.1547248363494873,False,5kpbmc vs Rest,5kpbmc,Rest
TUBB4B,0.9094,0.09060000000000001,2.306330728962968,0.0012546888,0.00034467474,1e-05,0.25,1.7814767,1.8665118,1.0995405,-2.6003704,7.349217,1.9717934,0.492562,0.6771488469601677,0.2793388429752066,14.483558654785156,3.6298418045043945,False,5kpbmc vs Rest,5kpbmc,Rest
MTRNR2L8,0.9048,0.09519999999999995,2.2517338890147465,0.00083291024,0.00020319753,1e-05,0.25,1.982428,1.8963733,1.4237027,-3.696783,10.867719,0.7939775,0.1754609,0.49266247379454925,0.136808645899555,8.362255096435547,1.5441828966140747,False,5kpbmc vs Rest,5kpbmc,Rest
UBE2S,0.9044,0.09560000000000002,2.2470988268010084,0.0009451851,0.0002104212,1e-05,0.25,1.9872683,2.1572165,1.2482935,-3.233468,6.6056595,1.5896703,0.30845517,0.6079664570230608,0.19631277813095996,11.19001293182373,2.282768487930298,False,5kpbmc vs Rest,5kpbmc,Rest
KLHL15,0.9036,0.09640000000000004,2.2378804903097573,0.00010654396,3.0221638e-05,1e-05,0.25,1.7815046,1.7258902,1.2741766,-10.553227,13.12918,0.18772632,0.034710743,0.1328378120830951,0.032676414494596316,1.0044292211532593,0.288386732339859,False,5kpbmc vs Rest,5kpbmc,Rest
TNF,0.902,0.09799999999999998,2.2196469504377156,0.00056251773,8.5397085e-05,1e-05,0.25,3.349641,3.3872757,2.3687038,-7.805086,14.2300415,0.89536875,0.058105532,0.2757766342672003,0.043102352193261285,4.882605075836182,0.8083698749542236,False,5kpbmc vs Rest,5kpbmc,Rest
TMX1,0.9006,0.09940000000000004,2.2039090047050345,0.000110428926,0.00027249186,1e-05,0.25,-1.3762052,-1.3023667,1.07674,-12.348258,7.632639,0.21307413,0.2999364,0.17438536306460833,0.23013350286077558,1.1004555225372314,2.7607390880584717,False,5kpbmc vs Rest,5kpbmc,Rest
AC103591.3,0.8982,0.1018,2.177382569438771,0.00015810964,0.0004244421,1e-05,0.25,-1.400537,-1.3748178,0.9576287,-10.5754,6.928754,0.23975605,0.35321042,0.15037164093767869,0.20902733630006357,1.4279139041900635,3.6313135623931885,False,5kpbmc vs Rest,5kpbmc,Rest
AC104506.1,0.898,0.10199999999999998,2.1751971681145754,4.4969594e-05,3.467058e-06,1e-05,0.25,3.3976061,3.378323,2.122243,-6.9064083,12.636833,0.043453403,0.0029243485,0.03697350867162188,0.0029243483788938336,0.44392311573028564,0.02686045691370964,False,5kpbmc vs Rest,5kpbmc,Rest
AC245014.3,0.8966,0.10340000000000005,2.160004784088461,0.00023588806,0.0008348906,1e-05,0.25,-1.763212,-1.7478056,1.1905282,-7.586322,3.7848234,0.30493614,0.693452,0.20144844673146559,0.3741894469167196,2.1798288822174072,7.602761268615723,False,5kpbmc vs Rest,5kpbmc,Rest
FOSB,0.8962,0.1038,2.155697546439369,0.006444067,0.0016086003,1e-05,0.25,1.9554305,1.9680159,1.520384,-4.731703,10.439108,8.999809,1.7070565,0.8858395273489613,0.5683407501589319,58.28647994995117,14.72689151763916,False,5kpbmc vs Rest,5kpbmc,Rest
ACTB,0.895,0.10499999999999998,2.1428632840524258,0.012496193,0.03143091,1e-05,0.25,-1.4839691,-1.32128,1.1697842,-7.0512276,6.563437,28.950068,41.802795,0.9325328759291024,0.9954227590591227,140.07952880859375,352.34796142578125,False,5kpbmc vs Rest,5kpbmc,Rest
TOB2,0.8944,0.10560000000000003,2.136494647612388,0.0002330383,8.3327104e-05,1e-05,0.25,1.4485162,1.4226112,1.0287812,-3.9735851,9.665339,0.28968933,0.07972028,0.22050695635601297,0.07425301970756516,2.1488780975341797,0.7775514721870422,False,5kpbmc vs Rest,5kpbmc,Rest
SCLT1,0.8912,0.10880000000000001,2.1030574540602425,0.00021271702,8.5259286e-05,1e-05,0.25,1.3242265,1.341744,0.88104856,-4.983283,6.3537054,0.4025157,0.11112524,0.26739089003239946,0.09866497139224412,2.3572566509246826,0.9580343961715698,False,5kpbmc vs Rest,5kpbmc,Rest
NOTCH4,0.8864,0.11360000000000003,2.0544847329593914,2.3953511e-05,5.234994e-06,1e-05,0.25,2.6191976,2.5815887,1.8091674,-8.535797,10.688808,0.048408613,0.009281628,0.03945111492281304,0.008264462809917356,0.2887837588787079,0.06324125826358795,False,5kpbmc vs Rest,5kpbmc,Rest
ZNF217,0.8852,0.11480000000000001,2.0426220484803004,0.00020772096,8.730186e-05,1e-05,0.25,1.3249185,1.3153944,0.96279556,-7.3224745,8.856204,0.33428627,0.081627466,0.24394892319420622,0.0757787666878576,2.0440077781677246,0.7432222366333008,False,5kpbmc vs Rest,5kpbmc,Rest
RPL13A,0.8848,0.11519999999999997,2.038691807002717,0.0219305,0.0037323292,1e-05,0.25,2.252145,2.2824857,1.6195245,-3.670061,8.466963,29.418144,2.9496503,0.9464455879550219,0.8653528289891926,217.49964904785156,33.34944534301758,False,5kpbmc vs Rest,5kpbmc,Rest
